"","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"Q1",214,0,0,105,0,0,0
"Q2",0,0,0,268,1,8,0
"Q3",0,109,43,53,193,118,0
"Q4",0,56,21,65,235,1,0
