TagID,Date,Lon,Lat,Length,LenType,LenUnit
78236,04/01/2008,33.19,32.5,135,FL,cm
78236,06/01/2008,34.72,37.5,135,FL,cm
78236,15/01/2008,32.31,29,135,FL,cm
78236,17/01/2008,31.93,30,135,FL,cm
78236,24/01/2008,32.08,31,135,FL,cm
78236,10/02/2008,33.16,35.5,135,FL,cm
78236,13/02/2008,33.86,39,135,FL,cm
78236,14/02/2008,33.27,28.5,135,FL,cm
78236,24/02/2008,33.4,29,135,FL,cm
78236,26/02/2008,34.16,27,135,FL,cm
78236,27/02/2008,34.76,20.5,135,FL,cm
78236,29/02/2008,34.73,23,135,FL,cm
78236,28/04/2008,34.16,22,135,FL,cm
78236,05/05/2008,34.84,22.5,135,FL,cm
78236,16/05/2008,33.79,19.5,135,FL,cm
78236,24/05/2008,36.17,21.5,135,FL,cm
