"","p","s","t","fr","tr"
"239",NA,4,2,5,5
"240",NA,3,2,5,5
"241",NA,4,2,5,5
"242",NA,1,2,5,5
"243",NA,3,2,5,5
"244",NA,3,2,5,5
"245",NA,3,2,5,5
"246",NA,3,2,5,5
"247",NA,4,2,5,5
"248",NA,3,2,5,5
"249",NA,4,2,5,5
"250",NA,3,2,5,5
"251",NA,4,2,5,5
"252",NA,1,2,5,2
"253",NA,2,2,2,2
"254",NA,3,2,2,2
"255",NA,4,2,2,2
"256",NA,1,2,2,2
"257",NA,2,2,2,2
"258",1,2,2,7,6
"259",1,2,2,7,7
"260",1,2,2,7,7
"261",1,2,2,7,7
"262",1,2,2,7,7
"263",1,2,2,7,7
"264",1,2,2,7,7
"265",1,2,2,7,7
"266",1,2,2,7,5
"267",1,2,2,7,7
"268",1,2,2,7,7
"269",1,2,2,7,7
"270",1,2,2,7,5
"271",1,2,2,7,5
"272",1,2,2,7,7
"273",1,2,2,7,7
"274",1,2,2,7,6
"275",1,3,2,6,6
"276",1,2,2,7,5
"277",1,2,2,7,5
"278",1,3,2,5,5
"279",1,2,2,7,5
"280",1,2,2,7,5
"281",1,2,2,7,7
"282",1,2,2,7,5
"283",1,2,2,7,7
"284",1,2,2,7,5
