Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Days,Start_date,End_date
114006,BFT,NA,NA,E_ATL,75,2012-07-14,2012-09-26
86235C,BFT,NA,NA,E_ATL,3,2012-05-14,2012-05-16
86235C,BFT,NA,NA,W_MED,17,2012-05-17,2012-06-02
118755,BFT,NA,NA,E_ATL,2,2012-05-16,2012-05-17
118755,BFT,NA,NA,W_MED,58,2012-05-18,2012-07-14
118755,BFT,NA,NA,E_ATL,93,2012-07-15,2012-10-15
118755,BFT,NA,NA,NE_ATL,9,2012-10-16,2012-10-24
120088,BFT,NA,NA,E_ATL,36,2012-05-16,2012-06-20
120081,BFT,NA,NA,E_ATL,4,2012-05-16,2012-05-19
120081,BFT,NA,NA,W_MED,32,2012-05-20,2012-06-20
120084,BFT,NA,NA,E_ATL,40,2012-05-16,2012-06-24
120086,BFT,NA,NA,E_ATL,3,2012-05-16,2012-05-18
120086,BFT,NA,NA,W_MED,34,2012-05-19,2012-06-21
120089,BFT,NA,NA,E_ATL,17,2012-05-16,2012-06-01
120087,BFT,NA,NA,E_ATL,3,2012-05-16,2012-05-18
120087,BFT,NA,NA,W_MED,14,2012-05-19,2012-06-01
120085,BFT,NA,NA,E_ATL,4,2012-05-16,2012-05-19
120085,BFT,NA,NA,W_MED,10,2012-05-20,2012-05-29
120091,BFT,NA,NA,E_ATL,1,2012-10-13,2012-10-13
120091,BFT,NA,NA,W_MED,29,2012-10-14,2012-11-11
120092,BFT,NA,NA,E_ATL,1,2012-10-13,2012-10-13
120092,BFT,NA,NA,W_MED,58,2012-10-14,2012-12-10
120092,BFT,NA,NA,E_ATL,89,2012-12-11,2013-03-09
120092,BFT,NA,NA,W_MED,6,2013-03-10,2013-03-15
120092,BFT,NA,NA,E_ATL,2,2013-03-16,2013-03-17
120092,BFT,NA,NA,W_MED,5,2013-03-18,2013-03-22
120093,BFT,NA,NA,E_ATL,1,2012-11-14,2012-11-14
120093,BFT,NA,NA,W_MED,275,2012-11-15,2013-08-16
120094,BFT,NA,NA,E_ATL,2,2012-11-10,2012-11-11
120094,BFT,NA,NA,W_MED,5,2012-11-12,2012-11-16
120094,BFT,NA,NA,E_ATL,82,2012-11-17,2013-02-06
120094,BFT,NA,NA,W_MED,70,2013-02-07,2013-04-17
120094,BFT,NA,NA,E_ATL,3,2013-04-18,2013-04-20
120094,BFT,NA,NA,W_MED,67,2013-04-21,2013-06-26
120095,BFT,NA,NA,W_MED,122,2012-10-01,2013-01-30
120096,BFT,NA,NA,E_ATL,16,2012-10-31,2012-11-15
120097,BFT,NA,NA,W_MED,239,2012-10-02,2013-05-28
120100,BFT,NA,NA,E_ATL,1,2012-10-14,2012-10-14
120100,BFT,NA,NA,W_MED,60,2012-10-15,2012-12-13
120103,BFT,NA,NA,E_ATL,1,2012-10-20,2012-10-20
120103,BFT,NA,NA,W_MED,198,2012-10-21,2013-05-06
120105,BFT,NA,NA,E_ATL,1,2012-10-13,2012-10-13
120105,BFT,NA,NA,W_MED,17,2012-10-14,2012-10-30
120105,BFT,NA,NA,E_ATL,13,2012-10-31,2012-11-12
120105,BFT,NA,NA,W_MED,9,2012-11-13,2012-11-21
120107,BFT,NA,NA,E_ATL,1,2012-11-09,2012-11-09
120107,BFT,NA,NA,W_MED,175,2012-11-10,2013-05-03
120108,BFT,NA,NA,E_ATL,204,2012-10-21,2013-05-12
120108,BFT,NA,NA,W_MED,8,2013-05-13,2013-05-20
120109,BFT,NA,NA,E_ATL,1,2012-10-12,2012-10-12
120109,BFT,NA,NA,W_MED,75,2012-10-13,2012-12-26
120109,BFT,NA,NA,E_ATL,129,2012-12-27,2013-05-04
120109,BFT,NA,NA,W_MED,4,2013-05-05,2013-05-08
120110,BFT,NA,NA,E_ATL,1,2012-10-14,2012-10-14
120110,BFT,NA,NA,W_MED,254,2012-10-15,2013-06-25
120111,BFT,NA,NA,E_ATL,1,2012-10-12,2012-10-12
120111,BFT,NA,NA,W_MED,80,2012-10-13,2012-12-31
120112,BFT,NA,NA,W_MED,76,2012-10-02,2012-12-16
120113,BFT,NA,NA,W_MED,78,2012-10-08,2012-12-24
120114,BFT,NA,NA,E_ATL,33,1912-08-18,2012-09-19
120115,BFT,NA,NA,E_ATL,126,2012-08-18,2012-12-21
120116,BFT,NA,NA,E_ATL,86,2012-08-18,2012-11-11
120117,BFT,NA,NA,E_ATL,53,2012-08-07,2012-09-28
120118,BFT,NA,NA,E_ATL,38,2012-08-18,2012-09-24
120119,BFT,NA,NA,E_ATL,51,2012-08-18,2012-10-07
120119,BFT,NA,NA,W_MED,1,2012-10-08,2012-10-08
120119,BFT,NA,NA,E_ATL,3,2012-10-09,2012-10-11
120121,BFT,NA,NA,E_ATL,361,2012-08-07,2013-08-02
120123,BFT,NA,NA,E_ATL,45,2012-08-18,2012-10-01
120126,BFT,NA,NA,E_ATL,117,2012-08-18,2012-12-12
120125,BFT,NA,NA,E_ATL,63,2012-08-18,2012-10-19
120127,BFT,NA,NA,E_ATL,1,2012-10-13,2012-10-13
120127,BFT,NA,NA,W_MED,33,2012-10-14,2012-11-15
120127,BFT,NA,NA,E_ATL,124,2012-11-16,2013-03-19
120127,BFT,NA,NA,W_MED,83,2013-03-20,2013-06-10
120128,BFT,NA,NA,E_ATL,1,2012-10-16,2012-10-16
120128,BFT,NA,NA,W_MED,48,2012-10-17,2012-12-03
120128,BFT,NA,NA,E_ATL,43,2012-12-04,2013-01-15
130543,BFT,NA,NA,E_ATL,23,2013-05-20,2013-06-11
130543,BFT,NA,NA,W_MED,36,2013-06-12,2013-07-17
130543,BFT,NA,NA,E_ATL,1,2013-07-18,2013-07-18
130545,BFT,NA,NA,E_ATL,14,2013-05-20,2013-06-02
130546,BFT,NA,NA,E_ATL,68,2013-05-20,2013-07-26
130546,BFT,NA,NA,NE_ATL,3,2013-07-27,2013-07-29
130546,BFT,NA,NA,E_ATL,70,2013-07-30,2013-10-07
130547,BFT,NA,NA,E_ATL,48,2013-05-20,2013-07-06
130547,BFT,NA,NA,NE_ATL,18,2013-07-07,2013-07-24
130548,BFT,NA,NA,E_ATL,14,2013-05-20,2013-06-02
130548,BFT,NA,NA,W_MED,11,2013-06-03,2013-06-13
130548,BFT,NA,NA,E_ATL,18,2013-06-14,2013-07-01
130550,BFT,NA,NA,E_ATL,1,2013-05-21,2013-05-21
130550,BFT,NA,NA,W_MED,43,2013-05-22,2013-07-03
130550,BFT,NA,NA,E_ATL,16,2013-07-04,2013-07-19
130551,BFT,NA,NA,E_ATL,2,2013-05-21,2013-05-22
130551,BFT,NA,NA,W_MED,107,2013-05-23,2013-09-06
130552,BFT,NA,NA,E_ATL,7,2013-05-21,2013-05-27
130552,BFT,NA,NA,W_MED,5,2013-05-28,2013-06-01
118760,BFT,NA,NA,E_ATL,1,2013-05-25,2013-05-25
118760,BFT,NA,NA,W_MED,55,2013-05-26,2013-07-19
118760,BFT,NA,NA,E_ATL,22,2013-07-20,2013-08-10
118760,BFT,NA,NA,NE_ATL,31,2013-08-11,2013-09-10
118760,BFT,NA,NA,C_ATL,28,2013-09-11,2013-10-08
118760,BFT,NA,NA,W_ATL,6,2013-10-09,2013-10-14
120447,BFT,NA,NA,W_MED,22,2013-05-21,2013-06-11
118758B,BFT,NA,NA,E_ATL,7,2013-05-21,2013-05-27
118758B,BFT,NA,NA,W_MED,23,2013-05-28,2013-06-19
118758B,BFT,NA,NA,E_ATL,10,2013-06-20,2013-06-29
120446,BFT,NA,NA,E_ATL,1,2013-05-21,2013-05-21
120446,BFT,NA,NA,W_MED,55,2013-05-22,2013-07-15
120446,BFT,NA,NA,E_ATL,53,2013-07-16,2013-09-06
130553,BFT,NA,NA,W_MED,115,2013-07-11,2013-11-02
130554,BFT,NA,NA,W_MED,77,2013-07-11,2013-09-25
130555,BFT,NA,NA,W_MED,53,2013-07-11,2013-09-01
130556,BFT,NA,NA,W_MED,177,2013-07-11,2014-01-03
130558,BFT,NA,NA,W_MED,66,2013-07-11,2013-09-14
130560,BFT,NA,NA,E_ATL,2,2013-10-13,2013-10-14
130560,BFT,NA,NA,W_MED,66,2013-10-15,2013-12-19
130560,BFT,NA,NA,E_ATL,1,2013-12-20,2013-12-20
130561,BFT,NA,NA,E_ATL,96,2013-07-26,2013-10-29
130562,BFT,NA,NA,E_ATL,43,2013-07-26,2013-09-06
130563,BFT,NA,NA,E_ATL,77,2013-07-26,2013-10-10
130564,BFT,NA,NA,E_ATL,41,2013-07-26,2013-09-04
130565,BFT,NA,NA,E_ATL,37,2013-07-26,2013-08-31
130566,BFT,NA,NA,E_ATL,47,2013-07-26,2013-09-10
130567,BFT,NA,NA,E_ATL,59,2013-07-26,2013-09-22
130569,BFT,NA,NA,E_ATL,2,2013-09-30,2013-10-01
130569,BFT,NA,NA,W_MED,95,2013-10-02,2014-01-04
130568,BFT,NA,NA,E_ATL,3,2013-09-24,2013-09-26
130568,BFT,NA,NA,W_MED,7,2013-09-27,2013-10-03
130568,BFT,NA,NA,E_ATL,28,2013-10-04,2013-10-31
130568,BFT,NA,NA,W_MED,41,2013-11-01,2013-12-11
130568,BFT,NA,NA,E_ATL,127,2013-12-12,2014-04-17
130568,BFT,NA,NA,W_MED,13,2014-04-18,2014-04-30
130570,BFT,NA,NA,E_ATL,1,2013-09-24,2013-09-24
130570,BFT,NA,NA,W_MED,39,2013-09-25,2013-11-02
130570,BFT,NA,NA,E_ATL,220,2013-11-03,2014-06-10
130570,BFT,NA,NA,W_MED,24,2014-06-11,2014-07-04
130570,BFT,NA,NA,E_ATL,54,2014-07-05,2014-08-27
130572,BFT,NA,NA,E_ATL,1,2013-10-04,2013-10-04
130572,BFT,NA,NA,W_MED,200,2013-10-05,2014-04-22
GOM_BLT_2010_001,BFT,240,200,GOM,26,2010-05-13,2010-06-07
GOM_BLT_2010_001,BFT,240,200,W_ATL,65,2010-06-08,2010-08-11
GOM_BLT_2010_002,BFT,260,360,GOM,22,2010-05-22,2010-06-12
GOM_BLT_2010_002,BFT,260,360,W_ATL,39,2010-06-13,2010-07-21
GOM_BLT_2010_002,BFT,260,360,GSL,30,2010-07-22,2010-08-20
GOM_BLT_2010_004,BFT,250,340,GOM,19,2010-05-22,2010-06-09
GOM_BLT_2010_004,BFT,250,340,W_ATL,72,2010-06-10,2010-08-20
GOM_BLT_2010_005,BFT,260,360,GOM,15,2010-05-22,2010-06-05
GOM_BLT_2010_005,BFT,260,360,W_ATL,77,2010-06-06,2010-08-21
GOM_BLT_2012_02,BFT,240,225,GOM,56,2012-03-02,2012-04-26
GOM_BLT_2012_04,BFT,240,225,GOM,10,2012-05-25,2012-06-03
GOM_BLT_2012_04,BFT,240,225,W_ATL,72,2012-06-04,2012-08-14
GOM_BLT_2012_06,BFT,195,NA,GOM,37,2012-04-13,2012-05-19
GOM_BLT_2012_06,BFT,195,NA,W_ATL,16,2012-05-20,2012-06-04
GOM_BLT_2012_10,BFT,270,290,GOM,64,2012-03-22,2012-05-24
GOM_BLT_2012_12,BFT,240,225,GOM,9,2012-05-02,2012-05-10
GOM_BLT_2012_12,BFT,240,225,W_ATL,50,2012-05-11,2012-06-29
GOM_BLT_2012_16,BFT,210,180,GOM,14,2012-04-26,2012-05-09
GOM_BLT_2012_16,BFT,210,180,W_ATL,50,2012-05-10,2012-06-28
GOM_BLT_2012_19,BFT,240,180,GOM,33,2012-04-25,2012-05-27
GOM_BLT_2012_19,BFT,240,180,W_ATL,57,2012-05-28,2012-07-23
GOM_BLT_2012_20,BFT,240,225,GOM,26,2012-04-26,2012-05-21
GOM_BLT_2012_20,BFT,240,225,W_ATL,11,2012-05-22,2012-06-01
GOM_BLT_2012_21,BFT,240,NA,GOM,24,2012-04-10,2012-05-03
GOM_BLT_2012_22,BFT,210,NA,GOM,96,2012-03-19,2012-06-22
GOM_BLT_2012_23,BFT,210,NA,GOM,37,2012-03-28,2012-05-03
GOM_BLT_2012_23,BFT,210,NA,W_ATL,4,2012-05-04,2012-05-07
GOM_BLT_2012_24,BFT,240,225,GOM,34,2012-04-25,2012-05-28
GOM_BLT_2012_24,BFT,240,225,W_ATL,18,2012-05-29,2012-06-15
GOM_BLT_2012_25,BFT,240,200,GOM,33,2012-05-13,2012-06-14
GOM_BLT_2012_25,BFT,240,200,W_ATL,18,2012-06-15,2012-07-02
GOM_BLT_2012_26,BFT,240,180,GOM,18,2012-02-28,2012-06-14
GOM_BLT_2012_26,BFT,240,180,W_ATL,45,2012-06-15,2012-07-29
GOM_BLT_2012_26,BFT,240,180,GSL,51,2012-07-30,2012-09-18
GOM_BLT_2012_27,BFT,210,225,GOM,32,2012-05-14,2012-06-14
GOM_BLT_2012_27,BFT,240,225,W_ATL,27,2012-06-15,2012-07-11
GOM_BLT_2012_28,BFT,240,200,GOM,29,2012-05-17,2012-06-14
GOM_BLT_2012_28,BFT,240,200,W_ATL,26,2012-06-15,2012-07-10
GOM_BLT_2012_30,BFT,240,225,GOM,34,2012-05-28,2012-06-30
GOM_BLT_2012_30,BFT,240,225,W_ATL,83,2012-07-01,2012-09-21
GOM_BLT_2012_31,BFT,240,200,GOM,7,2012-05-25,2012-05-31
GOM_BLT_2012_31,BFT,240,200,W_ATL,29,2012-06-01,2012-06-29
GOM_BLT_2012_31,BFT,240,200,GSL,48,2012-06-30,2012-08-16
GOM_BLT_2012_32,BFT,195,NA,GOM,9,2012-05-11,2012-05-19
GOM_BLT_2012_32,BFT,195,NA,W_ATL,10,2012-05-20,2012-05-29
GOM_BLT_2012_37,BFT,210,170,GOM,12,2012-05-23,2012-06-03
GOM_BLT_2012_37,BFT,210,170,W_ATL,32,2012-06-04,2012-07-05
GOM_BLT_2012_41,BFT,240,200,GOM,44,2012-04-09,2012-05-22
GOM_BLT_2012_41,BFT,240,200,W_ATL,29,2012-05-23,2012-06-20
GOM_BLT_2012_44,BFT,225,NA,GOM,13,2012-05-20,2012-06-01
GOM_BLT_2012_44,BFT,225,NA,W_ATL,40,2012-06-02,2012-07-11
GOM_BLT_2012_44,BFT,225,NA,GSL,1,2012-07-12,2012-07-12
GOM_BLT_2012_44,BFT,225,NA,W_ATL,5,2012-07-13,2012-07-17
GOM_BLT_2012_44,BFT,225,NA,GSL,1,2012-07-18,2012-07-18
GOM_BLT_2012_44,BFT,225,NA,W_ATL,2,2012-07-19,2012-07-20
GOM_BLT_2012_44,BFT,225,NA,GSL,16,2012-07-21,2012-08-05
GOM_BLT_2012_44,BFT,225,NA,W_ATL,2,2012-08-06,2012-08-07
GOM_BLT_2012_44,BFT,225,NA,GSL,2,2012-08-08,2012-08-09
GOM_BLT_2012_46,BFT,210,NA,GOM,10,2012-05-20,2012-05-29
GOM_BLT_2012_46,BFT,210,NA,W_ATL,34,2012-05-30,2012-07-02
GOM_BLT_2013_08,BFT,210,NA,GOM,44,2013-04-12,2013-05-25
GOM_BLT_2013_18,BFT,225,NA,GOM,64,2013-03-28,2013-05-30
GOM_BLT_2013_18,BFT,225,NA,W_ATL,8,2013-05-31,2013-06-07
GOM_BLT_2013_34,BFT,190,155,GOM,8,2013-05-12,2013-05-19
GOM_BLT_2013_34,BFT,190,155,W_ATL,40,2013-05-20,2013-06-28
GOM_BLT_2013_34,BFT,190,155,GSL,42,2013-06-29,2013-08-09
GOM_BLT_2013_36,BFT,210,200,GOM,43,2013-05-14,2013-06-25
GOM_BLT_2013_36,BFT,210,200,W_ATL,60,2013-06-26,2013-08-24
