Investigator,Contact_Person,Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days/Area
ICCAT_GBYP,A_DiNatale,120087,BFT,,260,W_MED,2012-05-19,2012-06-01,14
ICCAT_GBYP,A_DiNatale,120088,BFT,265,,SE_ATL,2012-05-16,2012-06-20,36
ICCAT_GBYP,A_DiNatale,120089,BFT,241,,SE_ATL,2012-05-16,2012-06-01,17
ICCAT_GBYP,A_DiNatale,120091,BFT,126,,SE_ATL,2012-10-13,2012-10-13,1
ICCAT_GBYP,A_DiNatale,120091,BFT,126,,W_MED,2012-10-14,2012-11-11,29
ICCAT_GBYP,A_DiNatale,120092,BFT,126,,SE_ATL,2012-10-13,2012-10-13,1
ICCAT_GBYP,A_DiNatale,120092,BFT,126,,W_MED,2012-10-14,2012-12-10,58
ICCAT_GBYP,A_DiNatale,120092,BFT,126,,SE_ATL,2012-12-11,2013-03-09,89
ICCAT_GBYP,A_DiNatale,120092,BFT,126,,W_MED,2013-03-10,2013-03-15,6
ICCAT_GBYP,A_DiNatale,120092,BFT,126,,SE_ATL,2013-03-16,2013-03-17,2
ICCAT_GBYP,A_DiNatale,120092,BFT,126,,W_MED,2013-03-18,2013-03-22,5
ICCAT_GBYP,A_DiNatale,120093,BFT,124,,SE_ATL,2012-11-14,2012-11-14,1
ICCAT_GBYP,A_DiNatale,120093,BFT,124,,W_MED,2012-11-15,2013-08-16,275
ICCAT_GBYP,A_DiNatale,120094,BFT,124,,SE_ATL,2012-11-10,2012-11-11,2
ICCAT_GBYP,A_DiNatale,120094,BFT,124,,W_MED,2012-11-12,2012-11-16,5
ICCAT_GBYP,A_DiNatale,120094,BFT,124,,SE_ATL,2012-11-17,2013-02-06,82
ICCAT_GBYP,A_DiNatale,120094,BFT,124,,W_MED,2013-02-07,2013-04-17,70
ICCAT_GBYP,A_DiNatale,120094,BFT,124,,SE_ATL,2013-04-18,2013-04-20,3
ICCAT_GBYP,A_DiNatale,120094,BFT,124,,W_MED,2013-04-21,2013-06-26,67
ICCAT_GBYP,A_DiNatale,120095,BFT,96,,W_MED,2012-10-01,2013-01-30,122
ICCAT_GBYP,A_DiNatale,120096,BFT,115,,SE_ATL,2012-10-31,2012-11-15,16
ICCAT_GBYP,A_DiNatale,120097,BFT,102,,W_MED,2012-10-02,2013-05-28,239
ICCAT_GBYP,A_DiNatale,120100,BFT,94,,SE_ATL,2012-10-14,2012-10-14,1
ICCAT_GBYP,A_DiNatale,120100,BFT,94,,W_MED,2012-10-15,2012-12-13,60
ICCAT_GBYP,A_DiNatale,120103,BFT,129,,SE_ATL,2012-10-20,2012-10-20,1
ICCAT_GBYP,A_DiNatale,120103,BFT,129,,W_MED,2012-10-21,2013-05-06,198
ICCAT_GBYP,A_DiNatale,120105,BFT,124,,SE_ATL,2012-10-13,2012-10-13,1
