Year,Val,Type,Stock
1970.692979,0.11717566,F25,E
1971.832605,0.139359218,F25,E
1972.826629,0.088680433,F25,E
1973.844005,0.151573911,F25,E
1974.919988,0.12304091,F25,E
1975.74094,0.192355944,F25,E
1976.945583,0.113113253,F25,E
1977.710675,0.119569149,F25,E
1978.875484,0.102467892,F25,E
1979.897896,0.157504407,F25,E
1981.310867,0.203269156,F25,E
1981.784758,0.214000366,F25,E
1982.682173,0.164032417,F25,E
1984.879467,0.186253749,F25,E
1985.868913,0.142717658,F25,E
1986.531444,0.159169891,F25,E
1987.969598,0.165649825,F25,E
1988.437536,0.185666537,F25,E
1989.685676,0.188568256,F25,E
1991.145807,0.160763261,F25,E
1991.930588,0.136505575,F25,E
1992.781301,0.1593931,F25,E
1993.376983,0.13012866,F25,E
1994.91312,0.133754951,F25,E
1995.443786,0.20591676,F25,E
1996.744122,0.127391772,F25,E
1997.64749,0.218138321,F25,E
1998.744534,0.15674893,F25,E
1999.997711,0.151793686,F25,E
2001.043016,0.171116733,F25,E
2001.909755,0.16900483,F25,E
2003.007715,0.1061869,F25,E
2003.979762,0.089793045,F25,E
2004.746228,0.094106133,F25,E
2006.201323,0.074158101,F25,E
2006.847371,0.116324031,F25,E
2007.549736,0.07063483,F25,E
2008.059797,0.024938761,F25,E
2009.607839,0.009994048,F25,E
2010.947552,0.020041895,F25,E
2011.820242,0.008644491,F25,E
2012.870584,0.020110574,F25,E
