1,LLOTH,12.5,412.5
2,LLJPN,12.5,362.5
3,BBold,12.5,237.5
4,BBnew,12.5,287.5
5,PSMEDold,12.5,362.5
6,PSMEDoldQ2,12.5,312.5
7,PSMEDnew,12.5,362.5
8,PSNOR,112.5,337.5
9,PSHRV,12.5,287.5
10,PSWold,12.5,337.5
11,PSWnew,62.5,312.5
12,TPold,37.5,337.5
13,TPnew,37.5,362.5
14,RRCAN,12.5,362.5
15,RRUSAFS,12.5,162.5
16,RRUSAFB,62.5,362.5
17,OTH,12.5,362.5
18,LLJPNnew,62.5,312.5
