"Year","Subyear","Area","Age","Catch"
1958,3,4,4,20.678786470798
1959,3,4,4,10.7256453222582
1960,3,4,4,14.1386667164895
1961,3,4,4,13.8635213438624
1962,3,4,4,12.3436495526085
1963,3,4,4,7.13870132856791
1964,3,4,4,20.7914886175564
1950,4,4,4,10.5106589931582
1951,4,4,4,21.4463586386609
1952,4,4,4,17.577364301751
1953,4,4,4,30.8235154452311
1954,4,4,4,7.87042791599933
1955,4,4,4,22.2639528684736
1956,4,4,4,10.2488274749865
1957,4,4,4,12.6635032181964
1958,4,4,4,242.948982452517
1959,4,4,4,333.490790292812
1960,4,4,4,221.751233042404
1961,4,4,4,289.485565954014
1962,4,4,4,156.891342489008
1963,4,4,4,156.628293909832
1964,4,4,4,197.19309670369
1950,3,5,4,4.77369450258413
1951,3,5,4,64.0008077537694
1952,3,5,4,8.4899591030834
1953,3,5,4,32.6581225494777
1954,3,5,4,5.47727387349933
1955,3,5,4,54.7312318730027
1956,3,5,4,2.49192909513163
1957,3,5,4,0.946220758578629
1958,3,5,4,0.949577433614126
1959,3,5,4,0.0199437443254935
1950,2,6,4,5.1764313713241
1951,2,6,4,6.73676007410736
1952,2,6,4,8.15156833571396
1953,2,6,4,1.12722913437171
1954,2,6,4,9.56970147642107
1955,2,6,4,11.411865443912
1956,2,6,4,1.72391445982825
1957,2,6,4,6.98903157864963
1958,2,6,4,7.37876099702591
1959,2,6,4,6.61148120459762
1960,2,6,4,2.39057241450451
1961,2,6,4,2.77935186742349
1962,2,6,4,2.9613781240304
1963,2,6,4,2.40275145882877
1964,2,6,4,2.19222797836657
1950,3,6,4,741.427012152514
1951,3,6,4,964.914925947549
1952,3,6,4,1167.55975728496
1953,3,6,4,1890.16493084268
1954,3,6,4,1370.68081538951
1955,3,6,4,1634.53636148602
1956,3,6,4,93.6712579273407
1957,3,6,4,1001.04810234783
1958,3,6,4,1056.86955490593
1959,3,6,4,946.971070182163
1960,3,6,4,342.404802744814
1961,3,6,4,398.09019051231
1962,3,6,4,424.162048494818
1963,3,6,4,344.149223137254
1964,3,6,4,313.995670639349
1950,4,6,4,13.7136201169663
1951,4,6,4,17.8473086665926
1952,4,6,4,21.5954783314124
1953,4,6,4,0.0564977643752864
1954,4,6,4,25.3524564060512
1955,4,6,4,30.2327948151108
1956,4,6,4,15.7131706297936
