area,assessment,year,ssb,rec
West,VPA, 1996       ,14630,118444
West,VPA, 1997       ,14740,97611
West,VPA, 1998       ,14986,139256
West,VPA, 1999       ,15395,105926
West,VPA, 2000       ,15006,127754
West,VPA, 2001       ,14494.5,152281
West,VPA, 2002       ,13650,151318
West,VPA, 2003       ,13273.5,182660
West,VPA, 2004       ,12894,285980
West,VPA, 2005       ,13029.5,154621
West,VPA, 2006       ,13626.5,161880
West,VPA, 2007       ,14702,102434
West,VPA, 2008       ,16469.5,91677
West,VPA, 2009       ,16778,161040
West,VPA, 2010       ,17691.5,101593
West,VPA, 2011       ,18288,66123
West,VPA, 2012       ,19828,80213
West,VPA, 2013       ,21198,125920
West,VPA, 2014       ,22646,6422
West,VPA, 2015       ,23413,608
