Fleetnam,Fleetno,Areas,Total
LLOTH,1,7,2310.2
LLOTH,1,4 and 5 and 6,548.72
LLOTH,1,1 and 2 and 3,323.02
LLJPN,2,4 and 5 and 6 and 7,2801
LLJPN,2,1 and 2 and 3,407.48
BBnew,5,4 and 5 and 6 and 7,1298.46
PSMedRec,6,7,21677.66
TPnew,10,4 and 5 and 6 and 7,3316.99
RRCan,11,2 and 3,363.15
RRUSA,12,2 and 3,1023.97
