Fleetnam,Fleetno,Areas,Total
LLOTH,1,7,1814.35
LLOTH,1,4 and 5 and 6,686.55
LLOTH,1,1 and 2 and 3,299.24
LLJPNnew,18,4 and 5 and 6 and 7,2819.00
LLJPNnew,18,2 and 3,407.48
BBnew,4,4 and 5 and 6 and 7,888.87
PSMEDnew,7,7,21523.71
PSNOR,8,7,272.26
PSHRV,9,7,869.48
TPnew,13,4 and 5 and 6,5243.20
RRCAN,14,2 and 3,415.18
RRUSAFS,15,1 and 2 and 3,167.68
RRUSAFB,16,1 and 2 and 3,991.97
OTH,17,7,818.63
OTH,17,4 and 5 and 6,1063.79
OTH,17,1 and 2 and 3,68.46
