Year,Subyear,Age,Catch_offBrasil
1959,1,13,7.102122033
1960,1,13,1.392748774
1961,1,13,9.408268556
1962,1,13,6.946296712
1963,1,13,45.82352241
1964,1,13,142.0112891
1957,2,13,0.210496836
1958,2,13,0.815022688
1959,2,13,0.948796667
1960,2,13,7.608681089
1961,2,13,1.800053886
1962,2,13,16.93969238
1963,2,13,277.4287511
1964,2,13,332.2790507
1957,3,13,0.016192112
1959,3,13,0.116361708
1960,3,13,1.222425752
1961,3,13,0.258380849
1962,3,13,7.118788327
1963,3,13,6.671940661
1964,3,13,2.027977426
1957,4,13,1.635400837
1958,4,13,0.200621147
1959,4,13,2.568913885
1960,4,13,10.41655657
1961,4,13,9.827087405
1962,4,13,42.4437855
1963,4,13,31.72305788
1964,4,13,12.6061191
1958,1,14,0.736688137
1959,1,14,6.658909078
1960,1,14,1.305833301
1961,1,14,8.821138894
1962,1,14,6.512808146
1963,1,14,42.96387304
1964,1,14,133.1489741
1957,2,14,0.196399586
1958,2,14,0.760439546
1959,2,14,0.885254505
1960,2,14,7.099117697
1961,2,14,1.679501906
1962,2,14,15.80521887
1963,2,14,258.8489823
1964,2,14,310.0258851
1957,3,14,0.015107705
1959,3,14,0.108568811
1960,3,14,1.14055829
1961,3,14,0.241076743
1962,3,14,6.642033698
1963,3,14,6.225112009
1964,3,14,1.892161107
1957,4,14,1.52587589
1958,4,14,0.187185285
1959,4,14,2.396870339
1960,4,14,9.718946064
1961,4,14,9.168954421
1962,4,14,39.60126929
1963,4,14,29.59852292
1964,4,14,11.7618707
1958,1,15,0.67929352
1959,1,15,6.140120307
1960,1,15,1.204097169
1961,1,15,8.133893018
1962,1,15,6.005401949
1963,1,15,39.6166018
1964,1,15,122.7754742
1957,2,15,0.17851362
1958,2,15,0.691186874
1959,2,15,0.804635026
1960,2,15,6.452606256
1961,2,15,1.5265509
1962,2,15,14.36584918
1963,2,15,235.2757953
1964,2,15,281.7920552
1957,3,15,0.013731857
1959,3,15,0.098681529
1960,3,15,1.036688483
1961,3,15,0.219122061
1962,3,15,6.037148561
1963,3,15,5.658195624
1964,3,15,1.719843383
1957,4,15,1.386915491
1958,4,15,0.170138458
1959,4,15,2.178589116
1960,4,15,8.833848774
1961,4,15,8.333944467
1962,4,15,35.99481074
1963,4,15,26.90300715
1964,4,15,10.69072577
1958,1,16,0.625169033
1959,1,16,5.650890167
1960,1,16,1.108157578
1961,1,16,7.485803824
1962,1,16,5.526905847
1963,1,16,36.46004546
1964,1,16,112.9930173
1957,2,16,0.161322724
1958,2,16,0.624625445
1959,2,16,0.727148519
1960,2,16,5.831219032
1961,2,16,1.379543754
1962,2,16,12.98241514
1963,2,16,212.618691
1964,2,16,254.6554261
1957,3,16,0.012409477
1959,3,16,0.089178479
1960,3,16,0.936855183
1961,3,16,0.198020565
1962,3,16,5.455769993
1963,3,16,5.113310297
1964,3,16,1.554222134
1957,4,16,1.253355263
1958,4,16,0.153754092
1959,4,16,1.968790565
1960,4,16,7.983147438
1961,4,16,7.531384011
1962,4,16,32.52850354
1963,4,16,24.31224238
1964,4,16,9.661206818
1958,1,17,0.578450535
