"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","7","","","","","",""
"2","WATL","","11","","1","","","","","44","44","","","","",""
"3","GSL","","","","","","","","","1","1","","","","",""
"4","SATL","","","","","","4","","","","","","","","",""
"5","NATL","","2","","3","1","","","","","","","","","",""
"6","EATL","","","","3","","1","","","","","","","","",""
"7","MED","","","","","","","1","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","37","4","","","","",""
"10","WATL","","7","","6","1","1","2","","28","10","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","3","","2","","","","","","","","",""
"13","NATL","","","","1","","","","","","","","","","",""
"14","EATL","","","","1","","2","1","","","","","","","",""
"15","MED","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","2","18","3","","","",""
"18","WATL","","5","","1","","1","","","","16","2","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","1","","1","2","3","3","","","","","","","",""
"21","NATL","","","","","1","","","","","","","","","",""
"22","EATL","","","","1","","3","","","","","","","","",""
"23","MED","","","1","6","3","9","29","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","6","","","","","","","1","17","2","","","",""
"27","GSL","","2","","","","","","","6","29","","","","",""
"28","SATL","","","","3","","","","","","","","","","",""
"29","NATL","","","","","4","","","","","","","","","",""
"30","EATL","","","","1","4","4","","","","","","","","",""
"31","MED","","","","","","","4","","","","","","","",""
