"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","37","4","","","","",""
"2","WATL","","4","","1","1","","2","","28","","","","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","","","1","","2","","","","","","","","",""
"5","NATL","","","","1","","","","","","","","","","",""
"6","EATL","","","","1","","1","1","","","","","","","",""
"7","MED","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","2","18","3","","","",""
"10","WATL","","2","","1","","1","","","","1","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","","1","1","3","","","","","","","",""
"13","NATL","","","","","1","","","","","","","","","",""
"14","EATL","","","","1","","2","","","","","","","","",""
"15","MED","","","1","6","3","9","29","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","2","","","","","","","1","8","1","","","",""
"19","GSL","","1","","","","","","","6","25","","","","",""
"20","SATL","","","","2","","","","","","","","","","",""
"21","NATL","","","","","4","","","","","","","","","",""
"22","EATL","","","","1","2","3","","","","","","","","",""
"23","MED","","","","","","","4","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","7","","","","","",""
"26","WATL","","4","","","","","","","44","27","","","","",""
"27","GSL","","","","","","","","","1","","","","","",""
"28","SATL","","","","","","3","","","","","","","","",""
"29","NATL","","1","","2","1","","","","","","","","","",""
"30","EATL","","","","2","","","","","","","","","","",""
"31","MED","","","","","","","1","","","","","","","",""
