"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","37","4","","","","",""
"2","WATL","","7","","6","1","1","2","","28","12","","1","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","","","2","","2","","","","","","1","","",""
"5","NATL","","","","1","","","","","","","","","","",""
"6","EATL","","","","1","","2","1","","","","","","","",""
"7","MED","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","2","18","3","","","",""
"10","WATL","","5","","1","","1","","","","17","2","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","1","2","3","3","","","2","","","","",""
"13","NATL","","","","","1","","","","","","","","","",""
"14","EATL","","","","1","","3","","","","","","","","",""
"15","MED","","","1","6","3","9","29","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","5","","","","","","","1","20","2","","","",""
"19","GSL","","2","","","","","","","6","30","","","","",""
"20","SATL","","","","3","","","","","","","","","","",""
"21","NATL","","","","","4","","","","","","","","","",""
"22","EATL","","","","1","4","4","","","","","","","","",""
"23","MED","","","","","","","4","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","7","","","","","",""
"26","WATL","","11","","","","","","","44","47","","1","","",""
"27","GSL","","","","","","","","","1","1","","","","",""
"28","SATL","","","","","","4","","","","","","","","",""
"29","NATL","","2","","3","1","","","","","","","","","",""
"30","EATL","","","","3","","1","","","","","","","","",""
"31","MED","","","","","","","1","","","","","","","",""
