Rec_ID,Tag_ID,Investigator,Contact_Person,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days_Area,Stock_Assign
1,49826,AZTI,I_Arregi,BFT,94,NA,E_ATL,9/23/2010,11/4/2010,43,UNK
2,49827,AZTI,I_Arregi,BFT,97,NA,E_ATL,9/29/2010,1/3/2011,97,UNK
3,49827,AZTI,I_Arregi,BFT,97,NA,SE_ATL,1/4/2011,1/29/2011,26,UNK
4,49856,AZTI,I_Arregi,BFT,98,NA,E_ATL,9/29/2010,12/17/2010,80,UNK
5,49856,AZTI,I_Arregi,BFT,98,NA,SE_ATL,12/18/2010,4/20/2011,124,UNK
6,49856,AZTI,I_Arregi,BFT,98,NA,E_ATL,4/21/2011,4/21/2011,1,UNK
7,49856,AZTI,I_Arregi,BFT,98,NA,SE_ATL,4/22/2011,4/26/2011,5,UNK
8,49856,AZTI,I_Arregi,BFT,98,NA,E_ATL,4/27/2011,6/19/2011,54,UNK
9,49880,AZTI,I_Arregi,BFT,93,NA,E_ATL,9/29/2010,1/23/2011,117,UNK
10,49880,AZTI,I_Arregi,BFT,93,NA,SE_ATL,1/24/2011,5/26/2011,123,UNK
11,49880,AZTI,I_Arregi,BFT,93,NA,E_ATL,5/27/2011,6/2/2011,7,UNK
12,49885,AZTI,I_Arregi,BFT,95,NA,E_ATL,9/29/2010,10/2/2010,4,UNK
13,49889,AZTI,I_Arregi,BFT,95,NA,E_ATL,9/29/2010,10/11/2010,13,UNK
14,79999,AZTI,I_Arregi,BFT,92,NA,E_ATL,8/23/2010,9/4/2010,13,UNK
15,79999,AZTI,I_Arregi,BFT,92,NA,SE_ATL,9/5/2010,10/19/2010,45,UNK
16,80001,AZTI,I_Arregi,BFT,95,NA,E_ATL,8/23/2010,9/25/2010,34,UNK
17,80003,AZTI,I_Arregi,BFT,90,NA,E_ATL,8/23/2010,1/31/2011,162,UNK
18,80003,AZTI,I_Arregi,BFT,90,NA,SE_ATL,2/1/2011,2/5/2011,5,UNK
19,80003,AZTI,I_Arregi,BFT,90,NA,E_ATL,2/6/2011,2/14/2011,9,UNK
20,90813,AZTI,I_Arregi,BFT,89,NA,E_ATL,8/26/2008,3/22/2009,209,UNK
21,90813,AZTI,I_Arregi,BFT,89,NA,SE_ATL,3/23/2009,4/28/2009,37,UNK
22,90813,AZTI,I_Arregi,BFT,89,NA,E_ATL,4/29/2009,8/10/2009,104,UNK
23,93709,AZTI,I_Arregi,BFT,110,NA,E_ATL,9/22/2009,3/16/2010,176,UNK
24,93710,AZTI,I_Arregi,BFT,91,NA,E_ATL,8/23/2010,1/31/2011,162,UNK
25,93710,AZTI,I_Arregi,BFT,91,NA,SE_ATL,2/1/2011,2/2/2011,2,UNK
26,93712,AZTI,I_Arregi,BFT,107,NA,E_ATL,9/22/2009,2/1/2010,133,UNK
27,93713,AZTI,I_Arregi,BFT,92,NA,E_ATL,8/23/2010,9/14/2010,23,UNK
28,93714,AZTI,I_Arregi,BFT,103,NA,E_ATL,9/22/2009,4/5/2010,196,UNK
29,93714,AZTI,I_Arregi,BFT,103,NA,SE_ATL,4/6/2010,5/9/2010,34,UNK
30,93714,AZTI,I_Arregi,BFT,103,NA,E_ATL,5/10/2010,5/18/2010,9,UNK
31,93715,AZTI,I_Arregi,BFT,97,NA,E_ATL,8/23/2010,5/23/2011,274,UNK
32,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,8/18/2007,1/17/2008,153,UNK
33,390540,AZTI,I_Arregi,BFT,64,NA,SE_ATL,1/18/2008,2/1/2008,15,UNK
34,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,2/2/2008,2/7/2008,6,UNK
35,390540,AZTI,I_Arregi,BFT,64,NA,SE_ATL,2/8/2008,2/17/2008,10,UNK
36,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,2/18/2008,3/3/2008,15,UNK
37,390540,AZTI,I_Arregi,BFT,64,NA,SE_ATL,3/4/2008,4/18/2008,46,UNK
38,390540,AZTI,I_Arregi,BFT,64,NA,SC_ATL,4/19/2008,4/20/2008,2,UNK
39,390540,AZTI,I_Arregi,BFT,64,NA,NC_ATL,4/21/2008,5/15/2008,25,UNK
40,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,5/16/2008,12/11/2008,210,UNK
41,390540,AZTI,I_Arregi,BFT,64,NA,NC_ATL,12/12/2008,2/2/2009,53,UNK
42,390540,AZTI,I_Arregi,BFT,64,NA,W_ATL,2/3/2009,4/24/2009,81,UNK
43,390540,AZTI,I_Arregi,BFT,64,NA,NC_ATL,4/25/2009,6/1/2009,38,UNK
44,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,6/2/2009,8/2/2009,62,UNK
45,390579,AZTI,I_Arregi,BFT,67,NA,E_ATL,9/1/2005,12/15/2005,106,UNK
46,390579,AZTI,I_Arregi,BFT,67,NA,SE_ATL,12/16/2005,1/23/2006,39,UNK
47,390579,AZTI,I_Arregi,BFT,67,NA,E_ATL,1/24/2006,3/30/2006,66,UNK
48,390579,AZTI,I_Arregi,BFT,67,NA,SE_ATL,3/31/2006,4/9/2006,10,UNK
49,390579,AZTI,I_Arregi,BFT,67,NA,E_ATL,4/10/2006,6/14/2006,66,UNK
50,790068,AZTI,I_Arregi,BFT,70,NA,E_ATL,8/18/2007,12/29/2007,134,UNK
51,790068,AZTI,I_Arregi,BFT,70,NA,SE_ATL,12/30/2007,1/4/2008,6,UNK
52,790068,AZTI,I_Arregi,BFT,70,NA,E_ATL,1/5/2008,1/6/2008,2,UNK
53,790068,AZTI,I_Arregi,BFT,70,NA,SE_ATL,1/7/2008,2/23/2008,48,UNK
54,790068,AZTI,I_Arregi,BFT,70,NA,E_ATL,2/24/2008,3/9/2008,15,UNK
55,790068,AZTI,I_Arregi,BFT,70,NA,NC_ATL,3/10/2008,4/5/2008,27,UNK
56,790068,AZTI,I_Arregi,BFT,70,NA,SC_ATL,4/6/2008,4/7/2008,2,UNK
57,790068,AZTI,I_Arregi,BFT,70,NA,W_ATL,4/8/2008,9/24/2009,535,UNK
58,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,8/17/2007,1/1/2008,138,UNK
59,790076,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,1/2/2008,1/7/2008,6,UNK
60,790076,AZTI,I_Arregi,BFT,NA,NA,SC_ATL,1/8/2008,1/9/2008,2,UNK
61,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,1/10/2008,1/14/2008,5,UNK
62,790076,AZTI,I_Arregi,BFT,NA,NA,SC_ATL,1/15/2008,1/20/2008,6,UNK
63,790076,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,1/21/2008,5/23/2008,124,UNK
64,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,5/24/2008,12/13/2008,204,UNK
65,790076,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,12/14/2008,4/23/2009,131,UNK
66,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,4/24/2009,4/30/2009,7,UNK
67,790076,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,5/1/2009,5/13/2009,13,UNK
68,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,5/14/2009,12/14/2009,215,UNK
69,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,12/15/2009,1/1/2010,18,UNK
70,790076,AZTI,I_Arregi,BFT,NA,NA,W_ATL,1/2/2010,4/6/2010,95,UNK
71,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,4/7/2010,4/24/2010,18,UNK
72,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,4/25/2010,12/9/2010,229,UNK
73,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,12/10/2010,12/18/2010,9,UNK
74,790076,AZTI,I_Arregi,BFT,NA,NA,W_ATL,12/19/2010,5/15/2011,148,UNK
75,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,5/16/2011,6/5/2011,21,UNK
76,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,6/6/2011,12/11/2011,189,UNK
77,790076,AZTI,I_Arregi,BFT,NA,NA,NE_ATL,12/12/2011,12/15/2011,4,UNK
78,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,12/16/2011,12/22/2011,7,UNK
79,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,12/23/2011,12/28/2011,6,UNK
80,150404,COMBIOMA,A_DiNatale,BFT,104,21,W_MED,7/1/2015,7/17/2015,17,EAST
81,150405,COMBIOMA,A_DiNatale,BFT,110,25,W_MED,7/1/2015,7/27/2015,27,EAST
82,150406,COMBIOMA,A_DiNatale,BFT,139,48,W_MED,7/1/2015,7/14/2015,14,EAST
83,150407,COMBIOMA,A_DiNatale,BFT,192,119,W_MED,7/1/2015,7/9/2015,9,EAST
84,150409,COMBIOMA,A_DiNatale,BFT,93,16,W_MED,7/1/2015,8/2/2015,33,EAST
85,150410,COMBIOMA,A_DiNatale,BFT,111,26,W_MED,7/1/2015,8/15/2015,46,EAST
86,150411,COMBIOMA,A_DiNatale,BFT,163,76,W_MED,7/1/2015,7/8/2015,8,EAST
87,150412,COMBIOMA,A_DiNatale,BFT,NA,NA,W_MED,7/1/2015,7/31/2015,31,EAST
88,150413,COMBIOMA,A_DiNatale,BFT,123,34,W_MED,7/1/2015,7/9/2015,9,EAST
89,150414,COMBIOMA,A_DiNatale,BFT,NA,NA,W_MED,7/1/2015,7/6/2015,6,EAST
90,150415,COMBIOMA,A_DiNatale,BFT,127,38,W_MED,7/1/2015,7/14/2015,14,EAST
91,150416,COMBIOMA,A_DiNatale,BFT,164,77,W_MED,7/1/2015,7/19/2015,19,EAST
92,150419,COMBIOMA,A_DiNatale,BFT,104,21,W_MED,7/1/2015,8/12/2015,43,EAST
93,150420,COMBIOMA,A_DiNatale,BFT,NA,NA,W_MED,7/1/2015,9/5/2015,67,EAST
94,150421,COMBIOMA,A_DiNatale,BFT,134,43,W_MED,7/1/2015,7/12/2015,12,EAST
95,150422,COMBIOMA,A_DiNatale,BFT,156,66,W_MED,7/1/2015,7/14/2015,14,EAST
96,2009_91277,DFO,A_Hanke,BFT,244,227,W_ATL,8/16/2009,9/1/2009,17,UNK
97,2009_91278,DFO,A_Hanke,BFT,241,249,W_ATL,8/16/2009,9/7/2009,23,UNK
98,2009_91279,DFO,A_Hanke,BFT,244,227,W_ATL,8/16/2009,9/2/2009,18,UNK
99,2009_91282,DFO,A_Hanke,BFT,216,181,W_ATL,8/19/2009,9/8/2009,21,UNK
100,2009_91283,DFO,A_Hanke,BFT,206,159,W_ATL,8/19/2009,9/26/2009,39,UNK
101,2009_91284,DFO,A_Hanke,BFT,NA,181,W_ATL,8/19/2009,10/11/2009,54,UNK
102,2009_91293,DFO,A_Hanke,BFT,216,181,W_ATL,8/19/2009,9/3/2009,16,UNK
103,2009_93550,DFO,A_Hanke,BFT,135,45,W_ATL,9/11/2009,3/5/2010,176,UNK
104,2009_93556,DFO,A_Hanke,BFT,248,272,W_ATL,8/12/2009,9/12/2009,32,UNK
105,2009_93556,DFO,A_Hanke,BFT,248,272,NC_ATL,9/12/2009,9/21/2009,10,UNK
