"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","","","","","","",""
"2","WATL","","1","","","1","","","","","","","","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","1","","4","","2","1","","","","","","","",""
"5","NATL","","","","","","","","","","","","","","",""
"6","EATL","","","","1","","3","","","","","","","","",""
"7","MED","","","","","","","3","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","","","","","","",""
"10","WATL","","2","","","","","","","","","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","","","","","","","","","","","",""
"13","NATL","","","","","","1","","","","","","","","",""
"14","EATL","","","","","","2","","","","","","","","",""
"15","MED","","","","","","","","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","1","","","","","","","","","","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","","","1","","","1","","","","","","","",""
"21","NATL","","","","","","","","","","","","","","",""
"22","EATL","","","","","","18","","","","","","","","",""
"23","MED","","","","1","","","5","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","1","","","","","","","","","","","","",""
"27","GSL","","","","","","","","","","","","","","",""
"28","SATL","","","","3","","","","","","","","","","",""
"29","NATL","","","","","","","","","","","","","","",""
"30","EATL","","1","","5","","8","","","","","","","","",""
"31","MED","","","","1","","","6","","","","","","","",""
