"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","","","","","","",""
"2","WATL","","1","","","","","","","","","","","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","","","3","","","","","","","","","","",""
"5","NATL","","","","","","","","","","","","","","",""
"6","EATL","","1","","5","","8","","","","","","","","",""
"7","MED","","","","1","","","6","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","","","","","","",""
"10","WATL","","1","","","1","","","","","","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","1","","4","","2","1","","","","","","","",""
"13","NATL","","","","","","","","","","","","","","",""
"14","EATL","","","","1","","3","","","","","","","","",""
"15","MED","","","","","","","3","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","2","","","","","","","","","","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","","","","","","","","","","","","","",""
"21","NATL","","","","","","1","","","","","","","","",""
"22","EATL","","","","","","2","","","","","","","","",""
"23","MED","","","","","","","","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","1","","","","","","","","","","","","",""
"27","GSL","","","","","","","","","","","","","","",""
"28","SATL","","","","1","","","1","","","","","","","",""
"29","NATL","","","","","","","","","","","","","","",""
"30","EATL","","","","","","18","","","","","","","","",""
"31","MED","","","","1","","","5","","","","","","","",""
