1,LLOTH
2,LLJPN
3,BBold
4,BBnew
5,PSMEDold
6,PSMEDoldQ2
7,PSMEDnew
8,PSNOR
9,PSHRV
10,PSWold
11,PSWnew
12,TPold
13,TPnew
14,RRCAN
15,RRUSAFS
16,RRUSAFB
17,OTH
18,LLJPNnew
