"","C10","C20","C30","D10","D20","D30","LD","DNC","LDNC","POF","POS","PGK","AAVC"
"ZeroC-ZeroC",0,0,0,0.803,1.195,1.076,0.42,1,1,0,0,100,2.726
"CurC50-CurC50",1.683,1.882,1.752,0.739,1.037,0.895,0.406,0.804,0.794,0,0,100,1.457
"CurC100-CurC100",3.211,3.727,3.398,0.682,0.89,0.724,0.386,0.615,0.598,0,0,100,1.917
"CurC150-CurC150",4.596,5.329,4.797,0.628,0.75,0.561,0.321,0.419,0.399,0,0,100,2.255
"EMP1e-EMP1w",3.247,4.13,4.314,0.681,0.875,0.672,0.325,0.406,0.398,0,0,100,2.826
"EMP2e-EMP2w",2.489,2.13,1.561,0.702,0.98,0.869,0.396,0.86,0.793,0,0,100,3.291
