area,assessment,year,ssb,rec
West,VPA, 1997       ,22221,120984
West,VPA, 1998       ,22513,170891
West,VPA, 1999       ,23239,133794
West,VPA, 2000       ,22808,161772
West,VPA, 2001       ,22853,199209
West,VPA, 2002       ,22217,212849
West,VPA, 2003       ,22659,239946
West,VPA, 2004       ,22489,337374
West,VPA, 2005       ,23456,195994
West,VPA, 2006       ,25691,186449
West,VPA, 2007       ,28479,113738
West,VPA, 2008       ,32986,98922
West,VPA, 2009       ,33918,167388
West,VPA, 2010       ,35997,92987
West,VPA, 2011       ,36712,44303
West,VPA, 2012       ,38717,66171
West,VPA, 2013       ,39601,111384
West,VPA, 2014       ,40585,5659
West,VPA, 2015       ,40380,576
